SMILES,InChI,Count
C1CC2CCOC3OC4CCC(C1)C23OO4,WHEUCCQFKWCFHJ-UHFFFAOYSA-N,2552
O=C1CN=Cc2ccccc2N1,UDLAUVFRZXIQJS-UHFFFAOYSA-N,2549
c1ccc2nc3c(cc2c1)CCCC3,RXBYRTSOWREATF-UHFFFAOYSA-N,2528
c1c[nH+]c[nH]1,RAXXELZNTBOGNW-UHFFFAOYSA-O,2476
c1cnncn1,FYADHXFMURLYQI-UHFFFAOYSA-N,2467
C1=CCCC1,LPIQUOYDBNQMRZ-UHFFFAOYSA-N,2366
c1cnc2ccsc2c1,DBDCNCCRPKTRSD-UHFFFAOYSA-N,2361
O=c1[nH]cnc2[nH]ncc12,OFCNXPDARWKPPY-UHFFFAOYSA-N,2334
c1cnn2cnnc2c1,YRACHDVMKITFAZ-UHFFFAOYSA-N,2284
O=C1C=CCCC1,FWFSEYBSWVRWGL-UHFFFAOYSA-N,2277
c1n[nH]c2c1CCCC2,GDSQTWDUCDSZEY-UHFFFAOYSA-N,2270
C1=CNC=CC1,YNGDWRXWKFWCJY-UHFFFAOYSA-N,2225
c1cn2ncsc2n1,UVNXNSUKKOLFBM-UHFFFAOYSA-N,2187
c1ccc2cnncc2c1,LFSXCDWNBUNEEM-UHFFFAOYSA-N,2181
c1cc2cn[nH]c2cn1,KNYHISBJRQVMAZ-UHFFFAOYSA-N,2154
c1cnc2sccc2c1,SMZMHUCIDGHERP-UHFFFAOYSA-N,2130
O=c1ccnc2ccccn12,NYJWYCAHJRGKMI-UHFFFAOYSA-N,2122
O=c1c2ccccc2oc2ccccc12,JNELGWHKGNBSMD-UHFFFAOYSA-N,2118
c1cc2c(s1)CNCC2,HXNOEHIMWZDRTK-UHFFFAOYSA-N,2112
C1NCC2CNCC12,QFCMBRXRVQRSSF-UHFFFAOYSA-N,2112
c1cnc2ncncc2c1,UDJFFSGCRRMVFH-UHFFFAOYSA-N,2112
c1ccc2c(c1)Nc1ccccc1S2,WJFKNYWRSNBZNX-UHFFFAOYSA-N,2077
C1CSCCN1,BRNULMACUQOKMR-UHFFFAOYSA-N,2062
c1cn2ccsc2n1,UFBBWLWUIISIPW-UHFFFAOYSA-N,2059
C1=C2CCCCC2C2CCC3CCCC3C2C1,CBKAHYBYIWZZPP-UHFFFAOYSA-N,2057
C1CCC2C(C1)CCC1C2CCC2C3CCCC3CCC21,XMUFZMQCRLMYIC-UHFFFAOYSA-N,2047
c1ncc2c(n1)CCNC2,STXKJIIHKFGUCY-UHFFFAOYSA-N,2032
C1=NCCO1,IMSODMZESSGVBE-UHFFFAOYSA-N,2028
C1CC2CNCC1N2,LKDJYZBKCVSODK-UHFFFAOYSA-N,2028
c1cnc2nccn2c1,INSWZAQOISIYDT-UHFFFAOYSA-N,2021
O=C1CC2SCC=CN12,FZEVMBJWXHDLDB-UHFFFAOYSA-N,2001
C=C1NC(=O)NC1=O,UJIBFPBOBFXMKO-UHFFFAOYSA-N,1956
c1nc2c([nH]1)CCNC2,URMVFILWXLQJIP-UHFFFAOYSA-N,1932
C1=COCCC1,BUDQDWGNQVEFAC-UHFFFAOYSA-N,1925
O=C1Nc2ccccc2C1=O,JXDYKVIHCLTXOP-UHFFFAOYSA-N,1916
c1ccc2c(c1)CCC1C2CCC2CCCC21,GBGFUQOSVTZLFA-UHFFFAOYSA-N,1891
O=c1cc[nH]c2ncccc12,NQUIRWXTTAMWIU-UHFFFAOYSA-N,1877
O=C1OCC2Cc3cc4c(cc3CC12)OCO4,KDAVTDIQCUOJNV-UHFFFAOYSA-N,1874
C1CC2(CCN1)CC2,GIBPTWPJEVCTGR-UHFFFAOYSA-N,1869
C=C1SC(=N)NC1=O,AWQVRSQATGSWHM-UHFFFAOYSA-N,1856
O=C1CCCCCN1,JBKVHLHDHHXQEQ-UHFFFAOYSA-N,1855
C1CC2CCC1CC2,GPRLTFBKWDERLU-UHFFFAOYSA-N,1850
O=c1cccco1,ZPSJGADGUYYRKE-UHFFFAOYSA-N,1848
O=c1[nH]cnc2sccc12,JEDVKUHCDPPWNR-UHFFFAOYSA-N,1846
O=c1cnc2ccccc2[nH]1,FFRYUAVNPBUEIC-UHFFFAOYSA-N,1831
O=C1NCCc2ccccc21,YWPMKTWUFVOFPL-UHFFFAOYSA-N,1831
O=c1cc[nH]c2ccnn12,NOSYRIKBTPXMRH-UHFFFAOYSA-N,1804
c1ncc2nn[nH]c2n1,GIIGHSIIKVOWKZ-UHFFFAOYSA-N,1798
C=C1C(=O)NC(=O)NC1=O,MNFRTFYEPYGIMU-UHFFFAOYSA-N,1797
C1CC2CNCC2C1,UZHVXJZEHGSWQV-UHFFFAOYSA-N,1790
c1cnc2cn[nH]c2c1,AMFYRKOUWBAGHV-UHFFFAOYSA-N,1747
O=C1CC2=CCCC(C2)CC2C1CCC1OCC12,YZXBJGIGIIYHGB-UHFFFAOYSA-N,1743
O=c1nc[nH]o1,PCJFEVUKVKQSSL-UHFFFAOYSA-N,1738
O=c1cncc[nH]1,HUTNOYOBQPAKIA-UHFFFAOYSA-N,1723
C1CC2CC2N1,WSSDGZWSPMAECX-UHFFFAOYSA-N,1722
c1cnn2cccc2c1,NISJKLIMPQPAQS-UHFFFAOYSA-N,1702
O=C1CCC=NN1,ORSUMIZRRGPJBR-UHFFFAOYSA-N,1676
c1ccc2c(c1)CCNCC2,MWVMYAWMFTVYED-UHFFFAOYSA-N,1664
O=C1NCCCOc2ccccc21,FODJKJWIJKUZPE-UHFFFAOYSA-N,1661
C1CC2CC2C1,JAPMJSVZDUYFKL-UHFFFAOYSA-N,1654
c1ccc2nonc2c1,AWBOSXFRPFZLOP-UHFFFAOYSA-N,1649
O=C1C=CC(=O)C=C1,AZQWKYJCGOJGHM-UHFFFAOYSA-N,1645
C1CC2CCC1N2,SNZSSCZJMVIOCR-UHFFFAOYSA-N,1640
c1ccc2nsnc2c1,PDQRQJVPEFGVRK-UHFFFAOYSA-N,1637
c1ccc2c3c([nH]c2c1)CCCC3,XKLNOVWDVMWTOB-UHFFFAOYSA-N,1634
C1=CNC=NC1,OKGNMRKOGWTADH-UHFFFAOYSA-N,1630
N=c1[nH]ccs1,RAIPHJJURHTUIC-UHFFFAOYSA-N,1623
c1ncc2[nH]ccc2n1,KDOPAZIWBAHVJB-UHFFFAOYSA-N,1617
c1cnc2c(c1)CCCC2,YQDGQEKUTLYWJU-UHFFFAOYSA-N,1613
O=c1ccc1=O,RGBVWCQARBEPPW-UHFFFAOYSA-N,1605
C1CN1,NOWKCMXCCJGMRR-UHFFFAOYSA-N,1602
c1nnc2n1CCNC2,UMEIYBJBGZKZOS-UHFFFAOYSA-N,1600
O=c1[nH]ccc2cc[nH]c12,CIRNDJMEVJYOAW-UHFFFAOYSA-N,1589
O=S1(=O)CCNCC1,NDOVLWQBFFJETK-UHFFFAOYSA-N,1574
c1cnc2c(c1)CCCN2,ZCZVGQCBSJLDDS-UHFFFAOYSA-N,1551
O=c1cnc2cncnc2[nH]1,OOIPDYWPGUHUJW-UHFFFAOYSA-N,1538
C=C1CCOC1=O,GSLDEZOOOSBFGP-UHFFFAOYSA-N,1536
c1n[nH]c2c1CNC2,CVRWHBCQJCUBFE-UHFFFAOYSA-N,1533
O=c1ccocc1,CVQUWLDCFXOXEN-UHFFFAOYSA-N,1518
O=C1CNc2ccccc2N1,HYTIPJFUWHYQON-UHFFFAOYSA-N,1516
O=C1CCc2ccccc21,QNXSIUBBGPHDDE-UHFFFAOYSA-N,1515
c1cnc2ccncc2c1,VSOSXKMEQPYESP-UHFFFAOYSA-N,1502
O=S1(=O)CCCCC1,BUGOPWGPQGYYGR-UHFFFAOYSA-N,1481
c1ccn2cccc2c1,HOBCFUWDNJPFHB-UHFFFAOYSA-N,1473
c1cc2cc[nH]c2cn1,XLKDJOPOOHHZAN-UHFFFAOYSA-N,1468
c1ccn2cncc2c1,JMANUKZDKDKBJP-UHFFFAOYSA-N,1465
O=c1[nH]c2cccnc2[nH]1,PGDIPOWQYRAOSK-UHFFFAOYSA-N,1451
O=c1[nH]c2cncnc2[nH]1,YPDSIEMYVQERLJ-UHFFFAOYSA-N,1445
c1cnc2[nH]ncc2n1,DDZGQYREBDXECY-UHFFFAOYSA-N,1441
C1CCCCCCC1,WJTCGQSWYFHTAC-UHFFFAOYSA-N,1428
O=S1(=O)NC=Nc2ccccc21,BBNGVMNBBLPZIR-UHFFFAOYSA-N,1426
c1ccc2c(c1)CNCCO2,HDVHFHONOKCUHQ-UHFFFAOYSA-N,1426
C=C1Oc2ccccc2C1=O,ZRPHXEAPPSSQAL-UHFFFAOYSA-N,1419
c1c[nH+]on1,JKFAIQOWCVVSKC-UHFFFAOYSA-O,1407
c1cnc2cnccc2c1,MXBVNILGVJVVMH-UHFFFAOYSA-N,1405
c1ccc2c(c1)ncc1nncn12,QNSRYVDGWDXBHV-UHFFFAOYSA-N,1394
O=C1C=CCCN1,OXRRHYRRQWIHIV-UHFFFAOYSA-N,1377
c1cnc2cccnc2c1,VMLKTERJLVWEJJ-UHFFFAOYSA-N,1373
C1=NCCS1,CBDKQYKMCICBOF-UHFFFAOYSA-N,1370
c1ncc2c(n1)CCNCC2,GSBPAKVXTRJZPG-UHFFFAOYSA-N,1370
C=C1SC=NC1=O,LLUIHVHWFNSSFO-UHFFFAOYSA-N,1366
c1ccc2c[n+]3c(cc2c1)-c1cc2c(cc1CC3)OCO2,QFXXWZCOIVFPGL-UHFFFAOYSA-N,1365
C1=CCNC1,JVQIKJMSUIMUDI-UHFFFAOYSA-N,1353
O=c1[nH]nco1,WTSXVIMLKCKWIW-UHFFFAOYSA-N,1343
N=C1NC(=O)CS1,HYMJHROUVPWYNQ-UHFFFAOYSA-N,1342
c1ccc2c(c1)CCC1CCCCC21,KFGROPZLGDSAPK-UHFFFAOYSA-N,1337
c1ccc2sncc2c1,CSNIZNHTOVFARY-UHFFFAOYSA-N,1335
C1=CCOCC1,MUGSKSNNEORSJG-UHFFFAOYSA-N,1325
C1CNCCOC1,ZNGWEEUXTBNKFR-UHFFFAOYSA-N,1324
c1ccc2c(c1)CC1CC2CCN1,NSLKFRGZLUIUKO-UHFFFAOYSA-N,1321
O=c1c2ccccc2[nH]c2ccccc12,FZEYVTFCMJSGMP-UHFFFAOYSA-N,1315
C1=NC=NCN1,RMQOXNXLVICLNK-UHFFFAOYSA-N,1313
c1ccc2c(c1)oc1ccccc12,TXCDCPKCNAJMEE-UHFFFAOYSA-N,1308
O=C1CCSSCCNC(=O)CNC(=O)CNC(=O)CNC(=O)CN1,XVZBADQMQMAYKY-UHFFFAOYSA-N,1307
C1COCOC1,VDFVNEFVBPFDSB-UHFFFAOYSA-N,1304
O=C1C=CCCO1,QBDAFARLDLCWAT-UHFFFAOYSA-N,1300
N=c1[nH]c2ccccc2[nH]1,JWYUFVNJZUSCSM-UHFFFAOYSA-N,1297
C1COCCO1,RYHBNJHYFVUHQT-UHFFFAOYSA-N,1295
O=C1CC(=O)NC(=O)N1,HNYOPLTXPVRDBG-UHFFFAOYSA-N,1294
O=C1NCNC12CCNCC2,JRKPNHLSQGAUDY-UHFFFAOYSA-N,1291
C1=NCCCN1,VBXZSFNZVNDOPB-UHFFFAOYSA-N,1279
S=c1[nH]cn[nH]1,AFBBKYQYNPNMAT-UHFFFAOYSA-N,1275
O=C1CSC(=O)N1,ZOBPZXTWZATXDG-UHFFFAOYSA-N,1266
C1CNOC1,CIISBYKBBMFLEZ-UHFFFAOYSA-N,1261
O=C1Nc2ccnc3scc(c23)N1,SXUJGIFYFLFJTO-UHFFFAOYSA-N,1252
O=c1[nH]cnc2[nH]ccc12,FBMZEITWVNHWJW-UHFFFAOYSA-N,1252
c1cc2n(n1)CCNC2,OOGKXAWZILGOBA-UHFFFAOYSA-N,1239
c1ccc2c(c1)ncc1nc[nH]c12,ITIRVXDSMXFTPW-UHFFFAOYSA-N,1235
O=C1NCNc2ccccc21,XWWYZFUBBJHKSP-UHFFFAOYSA-N,1231
c1ccc2c(c1)OCCCO2,CBXMULHQEVXJDI-UHFFFAOYSA-N,1229
O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2ccccc2nc1-3,SNNLGDCYCOKWFN-UHFFFAOYSA-N,1225
C1CC2(CCN1)OCCO2,KPKNTUUIEVXMOH-UHFFFAOYSA-N,1219
c1nn2cnnc2s1,GNSPINPIWPZMKW-UHFFFAOYSA-N,1213
O=C1CCCc2ccccc2N1,HRVRAYIYXRVAPR-UHFFFAOYSA-N,1212
O=C1NC2CSCC2N1,YCAYTKNFKBHFCE-UHFFFAOYSA-N,1195
c1ncc2c3c(sc2n1)CCCC3,DIIKLBOLDNKFBV-UHFFFAOYSA-N,1192
O=c1[nH]cnc2ccsc12,PZMKGWRBZNOIPQ-UHFFFAOYSA-N,1188
C1CC2(CCN1)CCNC2,WYZZNMWIWHRXRM-UHFFFAOYSA-N,1188
O=C1CCCc2[nH]ccc21,KASJZXHXXNEULX-UHFFFAOYSA-N,1180
c1ccc2cc3ccccc3cc2c1,MWPLVEDNUUSJAV-UHFFFAOYSA-N,1179
c1nc2c(s1)CCCC2,RMFVVPBBEDMZQI-UHFFFAOYSA-N,1177
